# Ultra-dense + color (420544 points)
# Format: x y r g b
#
-0.594004 1.057754 0.0000 0.0000 0.0000
-0.589513 1.057754 0.0000 0.0000 0.0000
-0.585021 1.057754 0.0000 0.0000 0.0000
-0.580530 1.057754 0.0000 0.0000 0.0000
-0.576038 1.057754 0.0000 0.0000 0.0000
-0.571547 1.057754 0.0000 0.0000 0.0000
-0.567055 1.057754 0.0000 0.0000 0.0000
-0.562564 1.057754 0.0000 0.0000 0.0000
-0.558072 1.057754 0.0000 0.0000 0.0000
-0.553581 1.057754 0.0000 0.0000 0.0000
-0.549089 1.057754 0.0000 0.0000 0.0000
-0.544597 1.057754 0.0000 0.0000 0.0000
-0.540106 1.057754 0.0000 0.0000 0.0000
-0.535614 1.057754 0.0000 0.0000 0.0000
-0.531123 1.057754 0.0000 0.0000 0.0000
-0.526631 1.057754 0.0000 0.0000 0.0000
-0.522140 1.057754 0.0000 0.0000 0.0000
-0.517648 1.057754 0.0000 0.0000 0.0000
-0.513157 1.057754 0.0000 0.0000 0.0000
-0.508665 1.057754 0.0000 0.0000 0.0000
-0.504174 1.057754 0.0000 0.0000 0.0000
-0.499682 1.057754 0.0000 0.0000 0.0000
-0.495191 1.057754 0.0000 0.0000 0.0000
-0.490699 1.057754 0.0000 0.0000 0.0000
-0.486208 1.057754 0.0000 0.0000 0.0000
-0.481716 1.057754 0.0000 0.0000 0.0000
-0.477225 1.057754 0.0000 0.0000 0.0000
-0.472733 1.057754 0.0000 0.0000 0.0000
-0.468242 1.057754 0.0000 0.0000 0.0000
-0.463750 1.057754 0.0000 0.0000 0.0000
-0.459258 1.057754 0.0000 0.0000 0.0000
-0.454767 1.057754 0.0000 0.0000 0.0000
-0.450275 1.057754 0.0000 0.0000 0.0000
-0.445784 1.057754 0.0000 0.0000 0.0000
-0.441292 1.057754 0.0000 0.0000 0.0000
-0.436801 1.057754 0.0000 0.0000 0.0000
-0.432309 1.057754 0.0000 0.0000 0.0000
-0.427818 1.057754 0.0000 0.0000 0.0000
-0.423326 1.057754 0.0000 0.0000 0.0000
-0.418835 1.057754 0.0000 0.0000 0.0000
-0.414343 1.057754 0.0000 0.0000 0.0000
-0.409852 1.057754 0.0000 0.0000 0.0000
-0.405360 1.057754 0.0000 0.0000 0.0000
-0.400869 1.057754 0.0000 0.0000 0.0000
-0.396377 1.057754 0.0000 0.0000 0.0000
-0.391886 1.057754 0.0000 0.0000 0.0000
-0.387394 1.057754 0.0000 0.0000 0.0000
-0.382903 1.057754 0.0000 0.0000 0.0000
-0.378411 1.057754 0.0000 0.0000 0.0000
-0.373919 1.057754 0.0000 0.0000 0.0000
-0.369428 1.057754 0.0000 0.0000 0.0000
-0.364936 1.057754 0.0000 0.0000 0.0000
-0.360445 1.057754 0.0000 0.0000 0.0000
-0.355953 1.057754 0.0000 0.0000 0.0000
-0.351462 1.057754 0.0000 0.0000 0.0000
-0.346970 1.057754 0.0000 0.0000 0.0000
-0.342479 1.057754 0.0000 0.0000 0.0000
-0.337987 1.057754 0.0000 0.0000 0.0000
-0.333496 1.057754 0.0000 0.0000 0.0000
-0.329004 1.057754 0.0000 0.0000 0.0000
-0.324513 1.057754 0.0000 0.0000 0.0000
-0.320021 1.057754 0.0000 0.0000 0.0000
-0.315530 1.057754 0.0000 0.0000 0.0000
-0.311038 1.057754 0.0000 0.0000 0.0000
-0.306547 1.057754 0.0000 0.0000 0.0000
-0.302055 1.057754 0.0000 0.0000 0.0000
-0.297564 1.057754 0.0000 0.0000 0.0000
-0.293072 1.057754 0.0000 0.0000 0.0000
-0.288581 1.057754 0.0000 0.0000 0.0000
-0.284089 1.057754 0.0000 0.0000 0.0000
-0.279597 1.057754 0.0000 0.0000 0.0000
-0.275106 1.057754 0.0000 0.0000 0.0000
-0.270614 1.057754 0.0000 0.0000 0.0000
-0.266123 1.057754 0.0000 0.0000 0.0000
-0.261631 1.057754 0.0000 0.0000 0.0000
-0.257140 1.057754 0.0000 0.0000 0.0000
-0.252648 1.057754 0.0000 0.0000 0.0000
-0.248157 1.057754 0.0000 0.0000 0.0000
-0.243665 1.057754 0.0000 0.0000 0.0000
-0.239174 1.057754 0.0000 0.0000 0.0000
-0.234682 1.057754 0.0000 0.0000 0.0000
-0.230191 1.057754 0.0000 0.0000 0.0000
-0.225699 1.057754 0.0000 0.0000 0.0000
-0.221208 1.057754 0.0000 0.0000 0.0000
-0.216716 1.057754 0.0000 0.0000 0.0000
-0.212225 1.057754 0.0000 0.0000 0.0000
-0.207733 1.057754 0.0000 0.0000 0.0000
-0.203242 1.057754 0.0000 0.0000 0.0000
-0.198750 1.057754 0.0000 0.0000 0.0000
-0.194258 1.057754 0.0000 0.0000 0.0000
-0.189767 1.057754 0.0000 0.0000 0.0000
-0.185275 1.057754 0.0000 0.0000 0.0000
-0.180784 1.057754 0.0000 0.0000 0.0000
-0.176292 1.057754 0.0000 0.0000 0.0000
-0.171801 1.057754 0.0000 0.0000 0.0000
-0.167309 1.057754 0.0000 0.0000 0.0000
-0.162818 1.057754 0.0000 0.0000 0.0000
-0.158326 1.057754 0.0000 0.0000 0.0000
-0.153835 1.057754 0.0000 0.0000 0.0000
-0.149343 1.057754 0.0000 0.0000 0.0000
-0.144852 1.057754 0.0000 0.0000 0.0000
-0.140360 1.057754 0.0000 0.0000 0.0000
-0.135869 1.057754 0.0000 0.0000 0.0000
-0.131377 1.057754 0.0000 0.0000 0.0000
-0.126886 1.057754 0.0000 0.0000 0.0000
-0.122394 1.057754 0.0000 0.0000 0.0000
-0.117903 1.057754 0.0000 0.0000 0.0000
-0.113411 1.057754 0.0000 0.0000 0.0000
-0.108919 1.057754 0.0000 0.0000 0.0000
-0.104428 1.057754 0.0000 0.0000 0.0000
-0.099936 1.057754 0.0000 0.0000 0.0000
-0.095445 1.057754 0.0000 0.0000 0.0000
-0.090953 1.057754 0.0000 0.0000 0.0000
-0.086462 1.057754 0.0000 0.0000 0.0000
-0.081970 1.057754 0.0000 0.0000 0.0000
-0.077479 1.057754 0.0000 0.0000 0.0000
-0.072987 1.057754 0.0000 0.0000 0.0000
-0.068496 1.057754 0.0000 0.0000 0.0000
-0.064004 1.057754 0.0000 0.0000 0.0000
-0.059513 1.057754 0.0000 0.0000 0.0000
-0.055021 1.057754 0.0000 0.0000 0.0000
-0.050530 1.057754 0.0000 0.0000 0.0000
-0.046038 1.057754 0.0000 0.0000 0.0000
-0.041547 1.057754 0.0000 0.0000 0.0000
-0.037055 1.057754 0.0000 0.0000 0.0000
-0.032564 1.057754 0.0000 0.0000 0.0000
-0.028072 1.057754 0.0000 0.0000 0.0000
-0.023581 1.057754 0.0000 0.0000 0.0000
-0.019089 1.057754 0.0000 0.0000 0.0000
-0.014597 1.057754 0.0000 0.0000 0.0000
-0.010106 1.057754 0.0000 0.0000 0.0000
-0.005614 1.057754 0.0000 0.0000 0.0000
-0.001123 1.057754 0.0000 0.0000 0.0000
0.003369 1.057754 0.0000 0.0000 0.0000
0.007860 1.057754 0.0000 0.0000 0.0000
0.012352 1.057754 0.0000 0.0000 0.0000
0.016843 1.057754 0.0000 0.0000 0.0000
0.021335 1.057754 0.0000 0.0000 0.0000
0.025826 1.057754 0.0000 0.0000 0.0000
0.030318 1.057754 0.0000 0.0000 0.0000
0.034809 1.057754 0.0000 0.0000 0.0000
0.039301 1.057754 0.0000 0.0000 0.0000
0.043792 1.057754 0.0000 0.0000 0.0000
0.048284 1.057754 0.0000 0.0000 0.0000
0.052775 1.057754 0.0000 0.0000 0.0000
0.057267 1.057754 0.0000 0.0000 0.0000
0.061758 1.057754 0.0000 0.0000 0.0000
0.066250 1.057754 0.0000 0.0000 0.0000
0.070742 1.057754 0.0000 0.0000 0.0000
0.075233 1.057754 0.0000 0.0000 0.0000
0.079725 1.057754 0.0000 0.0000 0.0000
0.084216 1.057754 0.0000 0.0000 0.0000
0.088708 1.057754 0.0000 0.0000 0.0000
0.093199 1.057754 0.0000 0.0000 0.0000
0.097691 1.057754 0.0000 0.0000 0.0000
0.102182 1.057754 0.0000 0.0000 0.0000
0.106674 1.057754 0.0000 0.0000 0.0000
0.111165 1.057754 0.0000 0.0000 0.0000
0.115657 1.057754 0.0000 0.0000 0.0000
0.120148 1.057754 0.0000 0.0000 0.0000
0.124640 1.057754 0.0000 0.0000 0.0000
0.129131 1.057754 0.0000 0.0000 0.0000
0.133623 1.057754 0.0000 0.0000 0.0000
0.138114 1.057754 0.0000 0.0000 0.0000
0.142606 1.057754 0.0000 0.0000 0.0000
0.147097 1.057754 0.0000 0.0000 0.0000
0.151589 1.057754 0.0000 0.0000 0.0000
0.156081 1.057754 0.0000 0.0000 0.0000
0.160572 1.057754 0.0000 0.0000 0.0000
0.165064 1.057754 0.0000 0.0000 0.0000
0.169555 1.057754 0.0000 0.0000 0.0000
0.174047 1.057754 0.0000 0.0000 0.0000
0.178538 1.057754 0.0000 0.0000 0.0000
0.183030 1.057754 0.0000 0.0000 0.0000
0.187521 1.057754 0.0000 0.0000 0.0000
0.192013 1.057754 0.0000 0.0000 0.0000
0.196504 1.057754 0.0000 0.0000 0.0000
0.200996 1.057754 0.0000 0.0000 0.0000
0.205487 1.057754 0.0000 0.0000 0.0000
0.209979 1.057754 0.0000 0.0000 0.0000
0.214470 1.057754 0.0000 0.0000 0.0000
0.218962 1.057754 0.0000 0.0000 0.0000
0.223453 1.057754 0.0000 0.0000 0.0000
0.227945 1.057754 0.0000 0.0000 0.0000
0.232436 1.057754 0.0000 0.0000 0.0000
0.236928 1.057754 0.0000 0.0000 0.0000
0.241419 1.057754 0.0000 0.0000 0.0000
0.245911 1.057754 0.0000 0.0000 0.0000
0.250403 1.057754 0.0000 0.0000 0.0000
0.254894 1.057754 0.0000 0.0000 0.0000
0.259386 1.057754 0.0000 0.0000 0.0000
0.263877 1.057754 0.0000 0.0000 0.0000
0.268369 1.057754 0.0000 0.0000 0.0000
0.272860 1.057754 0.0000 0.0000 0.0000
0.277352 1.057754 0.0000 0.0000 0.0000
0.281843 1.057754 0.0000 0.0000 0.0000
0.286335 1.057754 0.0000 0.0000 0.0000
0.290826 1.057754 0.0000 0.0000 0.0000
0.295318 1.057754 0.0000 0.0000 0.0000
0.299809 1.057754 0.0000 0.0000 0.0000
0.304301 1.057754 0.0000 0.0000 0.0000
0.308792 1.057754 0.0000 0.0000 0.0000
0.313284 1.057754 0.0000 0.0000 0.0000
0.317775 1.057754 0.0000 0.0000 0.0000
0.322267 1.057754 0.0000 0.0000 0.0000
0.326758 1.057754 0.0000 0.0000 0.0000
0.331250 1.057754 0.0000 0.0000 0.0000
0.335742 1.057754 0.0000 0.0000 0.0000
0.340233 1.057754 0.0000 0.0000 0.0000
0.344725 1.057754 0.0000 0.0000 0.0000
0.349216 1.057754 0.0000 0.0000 0.0000
0.353708 1.057754 0.0000 0.0000 0.0000
0.358199 1.057754 0.0000 0.0000 0.0000
0.362691 1.057754 0.0000 0.0000 0.0000
0.367182 1.057754 0.0000 0.0000 0.0000
0.371674 1.057754 0.0000 0.0000 0.0000
0.376165 1.057754 0.0000 0.0000 0.0000
0.380657 1.057754 0.0000 0.0000 0.0000
0.385148 1.057754 0.0000 0.0000 0.0000
0.389640 1.057754 0.0000 0.0000 0.0000
0.394131 1.057754 0.0000 0.0000 0.0000
0.398623 1.057754 0.0000 0.0000 0.0000
0.403114 1.057754 0.0000 0.0000 0.0000
0.407606 1.057754 0.0000 0.0000 0.0000
0.412097 1.057754 0.0000 0.0000 0.0000
0.416589 1.057754 0.0000 0.0000 0.0000
0.421081 1.057754 0.0000 0.0000 0.0000
0.425572 1.057754 0.0000 0.0000 0.0000
0.430064 1.057754 0.0000 0.0000 0.0000
0.434555 1.057754 0.0000 0.0000 0.0000
0.439047 1.057754 0.0000 0.0000 0.0000
0.443538 1.057754 0.0000 0.0000 0.0000
0.448030 1.057754 0.0000 0.0000 0.0000
0.452521 1.057754 0.0000 0.0000 0.0000
0.457013 1.057754 0.0000 0.0000 0.0000
0.461504 1.057754 0.0000 0.0000 0.0000
0.465996 1.057754 0.0000 0.0000 0.0000
0.470487 1.057754 0.0000 0.0000 0.0000
0.474979 1.057754 0.0000 0.0000 0.0000
0.479470 1.057754 0.0000 0.0000 0.0000
0.483962 1.057754 0.0000 0.0000 0.0000
0.488453 1.057754 0.0000 0.0000 0.0000
0.492945 1.057754 0.0000 0.0000 0.0000
0.497436 1.057754 0.0000 0.0000 0.0000
0.501928 1.057754 0.0000 0.0000 0.0000
0.506419 1.057754 0.0000 0.0000 0.0000
0.510911 1.057754 0.0000 0.0000 0.0000
0.515403 1.057754 0.0000 0.0000 0.0000
0.519894 1.057754 0.0000 0.0000 0.0000
0.524386 1.057754 0.0000 0.0000 0.0000
0.528877 1.057754 0.0000 0.0000 0.0000
0.533369 1.057754 0.0000 0.0000 0.0000
0.537860 1.057754 0.0000 0.0000 0.0000
0.542352 1.057754 0.0000 0.0000 0.0000
0.546843 1.057754 0.0000 0.0000 0.0000
0.551335 1.057754 0.0000 0.0000 0.0000
0.555826 1.057754 0.0000 0.0000 0.0000
0.560318 1.057754 0.0000 0.0000 0.0000
0.564809 1.057754 0.0000 0.0000 0.0000
0.569301 1.057754 0.0000 0.0000 0.0000
0.573792 1.057754 0.0000 0.0000 0.0000
0.578284 1.057754 0.0000 0.0000 0.0000
0.582775 1.057754 0.0000 0.0000 0.0000
0.587267 1.057754 0.0000 0.0000 0.0000
0.591758 1.057754 0.0000 0.0000 0.0000
0.596250 1.057754 0.0000 0.0000 0.0000
0.600742 1.057754 0.0000 0.0000 0.0000
0.605233 1.057754 0.0000 0.0000 0.0000
0.609725 1.057754 0.0000 0.0000 0.0000
0.614216 1.057754 0.0000 0.0000 0.0000
0.618708 1.057754 0.0000 0.0000 0.0000
0.623199 1.057754 0.0000 0.0000 0.0000
0.627691 1.057754 0.0000 0.0000 0.0000
0.632182 1.057754 0.0000 0.0000 0.0000
0.636674 1.057754 0.0000 0.0000 0.0000
0.641165 1.057754 0.0000 0.0000 0.0000
0.645657 1.057754 0.0000 0.0000 0.0000
0.650148 1.057754 0.0000 0.0000 0.0000
0.654640 1.057754 0.0000 0.0000 0.0000
0.659131 1.057754 0.0000 0.0000 0.0000
0.663623 1.057754 0.0000 0.0000 0.0000
0.668114 1.057754 0.0000 0.0000 0.0000
0.672606 1.057754 0.0000 0.0000 0.0000
0.677097 1.057754 0.0000 0.0000 0.0000
0.681589 1.057754 0.0000 0.0000 0.0000
0.686081 1.057754 0.0000 0.0000 0.0000
0.690572 1.057754 0.0000 0.0000 0.0000
0.695064 1.057754 0.0000 0.0000 0.0000
0.699555 1.057754 0.0000 0.0000 0.0000
0.704047 1.057754 0.0000 0.0000 0.0000
0.708538 1.057754 0.0000 0.0000 0.0000
0.713030 1.057754 0.0000 0.0000 0.0000
0.717521 1.057754 0.0000 0.0000 0.0000
0.722013 1.057754 0.0000 0.0000 0.0000
0.726504 1.057754 0.0000 0.0000 0.0000
0.730996 1.057754 0.0000 0.0000 0.0000
0.735487 1.057754 0.0000 0.0000 0.0000
0.739979 1.057754 0.0000 0.0000 0.0000
0.744470 1.057754 0.0000 0.0000 0.0000
0.748962 1.057754 0.0000 0.0000 0.0000
0.753453 1.057754 0.0000 0.0000 0.0000
0.757945 1.057754 0.0000 0.0000 0.0000
0.762436 1.057754 0.0000 0.0000 0.0000
0.766928 1.057754 0.0000 0.0000 0.0000
0.771419 1.057754 0.0000 0.0000 0.0000
0.775911 1.057754 0.0000 0.0000 0.0000
0.780403 1.057754 0.0000 0.0000 0.0000
0.784894 1.057754 0.0000 0.0000 0.0000
0.789386 1.057754 0.0000 0.0000 0.0000
0.793877 1.057754 0.0000 0.0000 0.0000
0.798369 1.057754 0.0000 0.0000 0.0000
0.802860 1.057754 0.0000 0.0000 0.0000
0.807352 1.057754 0.0000 0.0000 0.0000
0.811843 1.057754 0.0000 0.0000 0.0000
0.816335 1.057754 0.0000 0.0000 0.0000
0.820826 1.057754 0.0000 0.0000 0.0000
0.825318 1.057754 0.0000 0.0000 0.0000
0.829809 1.057754 0.0000 0.0000 0.0000
0.834301 1.057754 0.0000 0.0000 0.0000
0.838792 1.057754 0.0000 0.0000 0.0000
0.843284 1.057754 0.0000 0.0000 0.0000
0.847775 1.057754 0.0000 0.0000 0.0000
0.852267 1.057754 0.0000 0.0000 0.0000
0.856758 1.057754 0.0000 0.0000 0.0000
0.861250 1.057754 0.0000 0.0000 0.0000
0.865742 1.057754 0.0000 0.0000 0.0000
0.870233 1.057754 0.0000 0.0000 0.0000
0.874725 1.057754 0.0000 0.0000 0.0000
0.879216 1.057754 0.0000 0.0000 0.0000
0.883708 1.057754 0.0000 0.0000 0.0000
0.888199 1.057754 0.0000 0.0000 0.0000
0.892691 1.057754 0.0000 0.0000 0.0000
0.897182 1.057754 0.0000 0.0000 0.0000
0.901674 1.057754 0.0000 0.0000 0.0000
0.906165 1.057754 0.0000 0.0000 0.0000
0.910657 1.057754 0.0000 0.0000 0.0000
0.915148 1.057754 0.0000 0.0000 0.0000
0.919640 1.057754 0.0000 0.0000 0.0000
0.924131 1.057754 0.0000 0.0000 0.0000
0.928623 1.057754 0.0000 0.0000 0.0000
0.933114 1.057754 0.0000 0.0000 0.0000
0.937606 1.057754 0.0000 0.0000 0.0000
0.942097 1.057754 0.0000 0.0000 0.0000
0.946589 1.057754 0.0000 0.0000 0.0000
0.951081 1.057754 0.0000 0.0000 0.0000
0.955572 1.057754 0.0000 0.0000 0.0000
0.960064 1.057754 0.0000 0.0000 0.0000
0.964555 1.057754 0.0000 0.0000 0.0000
0.969047 1.057754 0.0000 0.0000 0.0000
0.973538 1.057754 0.0000 0.0000 0.0000
0.978030 1.057754 0.0000 0.0000 0.0000
0.982521 1.057754 0.0000 0.0000 0.0000
0.987013 1.057754 0.0000 0.0000 0.0000
0.991504 1.057754 0.0000 0.0000 0.0000
0.995996 1.057754 0.0000 0.0000 0.0000
-1.000487 1.055508 0.0000 0.0000 0.0000
-0.995996 1.055508 0.0000 0.0000 0.0000
-0.991504 1.055508 0.0000 0.0000 0.0000
-0.987013 1.055508 0.0000 0.0000 0.0000
-0.982521 1.055508 0.0000 0.0000 0.0000
-0.978030 1.055508 0.0000 0.0000 0.0000
-0.973538 1.055508 0.0000 0.0000 0.0000
-0.969047 1.055508 0.0000 0.0000 0.0000
-0.964555 1.055508 0.0000 0.0000 0.0000
-0.960064 1.055508 0.0000 0.0000 0.0000
-0.955572 1.055508 0.0000 0.0000 0.0000
-0.951081 1.055508 0.0000 0.0000 0.0000
-0.946589 1.055508 0.0000 0.0000 0.0000
-0.942097 1.055508 0.0000 0.0000 0.0000
-0.937606 1.055508 0.0000 0.0000 0.0000
-0.933114 1.055508 0.0000 0.0000 0.0000
-0.928623 1.055508 0.0000 0.0000 0.0000
-0.924131 1.055508 0.0000 0.0000 0.0000
-0.919640 1.055508 0.0000 0.0000 0.0000
-0.915148 1.055508 0.0000 0.0000 0.0000
-0.910657 1.055508 0.0000 0.0000 0.0000
-0.906165 1.055508 0.0000 0.0000 0.0000
-0.901674 1.055508 0.0000 0.0000 0.0000
-0.897182 1.055508 0.0000 0.0000 0.0000
-0.892691 1.055508 0.0000 0.0000 0.0000
-0.888199 1.055508 0.0000 0.0000 0.0000
-0.883708 1.055508 0.0000 0.0000 0.0000
-0.879216 1.055508 0.0000 0.0000 0.0000
-0.874725 1.055508 0.0000 0.0000 0.0000
-0.870233 1.055508 0.0000 0.0000 0.0000
-0.865742 1.055508 0.0000 0.0000 0.0000
-0.861250 1.055508 0.0000 0.0000 0.0000
-0.856758 1.055508 0.0000 0.0000 0.0000
-0.852267 1.055508 0.0000 0.0000 0.0000
-0.847775 1.055508 0.0000 0.0000 0.0000
-0.843284 1.055508 0.0000 0.0000 0.0000
-0.838792 1.055508 0.0000 0.0000 0.0000
-0.834301 1.055508 0.0000 0.0000 0.0000
-0.829809 1.055508 0.0000 0.0000 0.0000
-0.825318 1.055508 0.0000 0.0000 0.0000
-0.820826 1.055508 0.0000 0.0000 0.0000
-0.816335 1.055508 0.0000 0.0000 0.0000
-0.811843 1.055508 0.0000 0.0000 0.0000
-0.807352 1.055508 0.0000 0.0000 0.0000
-0.802860 1.055508 0.0000 0.0000 0.0000
-0.798369 1.055508 0.0000 0.0000 0.0000
-0.793877 1.055508 0.0000 0.0000 0.0000
-0.789386 1.055508 0.0000 0.0000 0.0000
-0.784894 1.055508 0.0000 0.0000 0.0000
-0.780403 1.055508 0.0000 0.0000 0.0000
-0.775911 1.055508 0.0000 0.0000 0.0000
-0.771419 1.055508 0.0000 0.0000 0.0000
-0.766928 1.055508 0.0000 0.0000 0.0000
-0.762436 1.055508 0.0000 0.0000 0.0000
-0.757945 1.055508 0.0000 0.0000 0.0000
-0.753453 1.055508 0.0000 0.0000 0.0000
-0.748962 1.055508 0.0000 0.0000 0.0000
-0.744470 1.055508 0.0000 0.0000 0.0000
-0.739979 1.055508 0.0000 0.0000 0.0000
-0.735487 1.055508 0.0000 0.0000 0.0000
-0.730996 1.055508 0.0000 0.0000 0.0000
-0.726504 1.055508 0.0000 0.0000 0.0000
-0.722013 1.055508 0.0000 0.0000 0.0000
-0.717521 1.055508 0.0000 0.0000 0.0000
-0.713030 1.055508 0.0000 0.0000 0.0000
-0.708538 1.055508 0.0000 0.0000 0.0000
-0.704047 1.055508 0.0000 0.0000 0.0000
-0.699555 1.055508 0.0000 0.0000 0.0000
-0.695064 1.055508 0.0000 0.0000 0.0000
-0.690572 1.055508 0.0000 0.0000 0.0000
-0.686081 1.055508 0.0000 0.0000 0.0000
-0.681589 1.055508 0.0000 0.0000 0.0000
-0.677097 1.055508 0.0000 0.0000 0.0000
-0.672606 1.055508 0.0000 0.0000 0.0000
-0.668114 1.055508 0.0000 0.0000 0.0000
-0.663623 1.055508 0.0000 0.0000 0.0000
-0.659131 1.055508 0.0000 0.0000 0.0000
-0.654640 1.055508 0.0000 0.0000 0.0000
-0.650148 1.055508 0.0000 0.0000 0.0000
-0.645657 1.055508 0.0000 0.0000 0.0000
-0.641165 1.055508 0.0000 0.0000 0.0000
-0.636674 1.055508 0.0000 0.0000 0.0000
-0.632182 1.055508 0.0000 0.0000 0.0000
-0.627691 1.055508 0.0000 0.0000 0.0000
-0.623199 1.055508 0.0000 0.0000 0.0000
-0.618708 1.055508 0.0000 0.0000 0.0000
-0.614216 1.055508 0.0000 0.0000 0.0000
-0.609725 1.055508 0.0000 0.0000 0.0000
-0.605233 1.055508 0.0000 0.0000 0.0000
-0.600742 1.055508 0.0000 0.0000 0.0000
-0.596250 1.055508 0.0000 0.0000 0.0000
-0.591758 1.055508 0.0000 0.0000 0.0000
-0.587267 1.055508 0.0000 0.0000 0.0000
-0.582775 1.055508 0.0000 0.0000 0.0000
-0.578284 1.055508 0.0000 0.0000 0.0000
-0.573792 1.055508 0.0000 0.0000 0.0000
-0.569301 1.055508 0.0000 0.0000 0.0000
-0.564809 1.055508 0.0000 0.0000 0.0000
-0.560318 1.055508 0.0000 0.0000 0.0000
-0.555826 1.055508 0.0000 0.0000 0.0000
-0.551335 1.055508 0.0000 0.0000 0.0000
-0.546843 1.055508 0.0000 0.0000 0.0000
-0.542352 1.055508 0.0000 0.0000 0.0000
-0.537860 1.055508 0.0000 0.0000 0.0000
-0.533369 1.055508 0.0000 0.0000 0.0000
-0.528877 1.055508 0.0000 0.0000 0.0000
-0.524386 1.055508 0.0000 0.0000 0.0000
-0.519894 1.055508 0.0000 0.0000 0.0000
-0.515403 1.055508 0.0000 0.0000 0.0000
-0.510911 1.055508 0.0000 0.0000 0.0000
-0.506419 1.055508 0.0000 0.0000 0.0000
-0.501928 1.055508 0.0000 0.0000 0.0000
-0.497436 1.055508 0.0000 0.0000 0.0000
-0.492945 1.055508 0.0000 0.0000 0.0000
-0.488453 1.055508 0.0000 0.0000 0.0000
-0.483962 1.055508 0.0000 0.0000 0.0000
-0.479470 1.055508 0.0000 0.0000 0.0000
-0.474979 1.055508 0.0000 0.0000 0.0000
-0.470487 1.055508 0.0000 0.0000 0.0000
-0.465996 1.055508 0.0000 0.0000 0.0000
-0.461504 1.055508 0.0000 0.0000 0.0000
-0.457013 1.055508 0.0000 0.0000 0.0000
-0.452521 1.055508 0.0000 0.0000 0.0000
-0.448030 1.055508 0.0000 0.0000 0.0000
-0.443538 1.055508 0.0000 0.0000 0.0000
-0.439047 1.055508 0.0000 0.0000 0.0000
-0.434555 1.055508 0.0000 0.0000 0.0000
-0.430064 1.055508 0.0000 0.0000 0.0000
-0.425572 1.055508 0.0000 0.0000 0.0000
-0.421081 1.055508 0.0000 0.0000 0.0000
-0.416589 1.055508 0.0000 0.0000 0.0000
-0.412097 1.055508 0.0000 0.0000 0.0000
-0.407606 1.055508 0.0000 0.0000 0.0000
-0.403114 1.055508 0.0000 0.0000 0.0000
-0.398623 1.055508 0.0000 0.0000 0.0000
-0.394131 1.055508 0.0000 0.0000 0.0000
-0.389640 1.055508 0.0000 0.0000 0.0000
-0.385148 1.055508 0.0000 0.0000 0.0000
-0.380657 1.055508 0.0000 0.0000 0.0000
-0.376165 1.055508 0.0000 0.0000 0.0000
-0.371674 1.055508 0.0000 0.0000 0.0000
-0.367182 1.055508 0.0000 0.0000 0.0000
-0.362691 1.055508 0.0000 0.0000 0.0000
-0.358199 1.055508 0.0000 0.0000 0.0000
-0.353708 1.055508 0.0000 0.0000 0.0000
-0.349216 1.055508 0.0000 0.0000 0.0000
-0.344725 1.055508 0.0000 0.0000 0.0000
-0.340233 1.055508 0.0000 0.0000 0.0000
-0.335742 1.055508 0.0000 0.0000 0.0000
-0.331250 1.055508 0.0000 0.0000 0.0000
-0.326758 1.055508 0.0000 0.0000 0.0000
-0.322267 1.055508 0.0000 0.0000 0.0000
-0.317775 1.055508 0.0000 0.0000 0.0000
-0.313284 1.055508 0.0000 0.0000 0.0000
-0.308792 1.055508 0.0000 0.0000 0.0000
-0.304301 1.055508 0.0000 0.0000 0.0000
-0.299809 1.055508 0.0000 0.0000 0.0000
-0.295318 1.055508 0.0000 0.0000 0.0000
-0.290826 1.055508 0.0000 0.0000 0.0000
-0.286335 1.055508 0.0000 0.0000 0.0000
-0.281843 1.055508 0.0000 0.0000 0.0000
-0.277352 1.055508 0.0000 0.0000 0.0000
-0.272860 1.055508 0.0000 0.0000 0.0000
-0.268369 1.055508 0.0000 0.0000 0.0000
-0.263877 1.055508 0.0000 0.0000 0.0000
-0.259386 1.055508 0.0000 0.0000 0.0000
-0.254894 1.055508 0.0000 0.0000 0.0000
-0.250403 1.055508 0.0000 0.0000 0.0000
-0.245911 1.055508 0.0000 0.0000 0.0000
-0.241419 1.055508 0.0000 0.0000 0.0000
-0.236928 1.055508 0.0000 0.0000 0.0000
-0.232436 1.055508 0.0000 0.0000 0.0000
-0.227945 1.055508 0.0000 0.0000 0.0000
-0.223453 1.055508 0.0000 0.0000 0.0000
-0.218962 1.055508 0.0000 0.0000 0.0000
-0.214470 1.055508 0.0000 0.0000 0.0000
-0.209979 1.055508 0.0000 0.0000 0.0000
-0.205487 1.055508 0.0000 0.0000 0.0000
-0.200996 1.055508 0.0000 0.0000 0.0000
-0.196504 1.055508 0.0000 0.0000 0.0000
-0.192013 1.055508 0.0000 0.0000 0.0000
-0.187521 1.055508 0.0000 0.0000 0.0000
-0.183030 1.055508 0.0000 0.0000 0.0000
-0.178538 1.055508 0.0000 0.0000 0.0000
-0.174047 1.055508 0.0000 0.0000 0.0000
-0.169555 1.055508 0.0000 0.0000 0.0000
-0.165064 1.055508 0.0000 0.0000 0.0000
-0.160572 1.055508 0.0000 0.0000 0.0000
-0.156081 1.055508 0.0000 0.0000 0.0000
-0.151589 1.055508 0.0000 0.0000 0.0000
